Alternatives&Score&Output
2&0.9878787878787879&alternative_2,alternative_1,alternative_2,alternative_1,alternative_1,alternative_2,alternative_2,alternative_1,alternative_2,alternative_1
3&0.9797979797979798&alternative_1,alternative_3,alternative_2,alternative_3,alternative_2,alternative_1,alternative_2,alternative_1,alternative_3,alternative_3,alternative_1,alternative_2,alternative_3,alternative_1,alternative_2
4&0.9777777777777779&alternative_4,alternative_3,alternative_2,alternative_1,alternative_1,alternative_4,alternative_2,alternative_3,alternative_2,alternative_1,alternative_3,alternative_4,alternative_2,alternative_3,alternative_4,alternative_1,alternative_3,alternative_1,alternative_2,alternative_4
5&0.9656565656565655&alternative_4,alternative_2,alternative_3,alternative_5,alternative_1,alternative_1,alternative_5,alternative_3,alternative_4,alternative_2,alternative_4,alternative_5,alternative_2,alternative_3,alternative_1,alternative_2,alternative_4,alternative_3,alternative_5,alternative_1,alternative_1,alternative_3,alternative_5,alternative_4,alternative_2
6&0.9656565656565658&alternative_4,alternative_2,alternative_5,alternative_3,alternative_1,alternative_6,alternative_1,alternative_6,alternative_4,alternative_3,alternative_5,alternative_2,alternative_6,alternative_1,alternative_2,alternative_4,alternative_3,alternative_5,alternative_2,alternative_5,alternative_4,alternative_1,alternative_3,alternative_6,alternative_5,alternative_6,alternative_4,alternative_1,alternative_3,alternative_2
7&0.9636363636363635&alternative_1,alternative_4,alternative_2,alternative_3,alternative_7,alternative_6,alternative_5,alternative_6,alternative_3,alternative_5,alternative_7,alternative_2,alternative_4,alternative_1,alternative_7,alternative_1,alternative_5,alternative_3,alternative_4,alternative_2,alternative_6,alternative_3,alternative_5,alternative_6,alternative_4,alternative_1,alternative_2,alternative_7,alternative_4,alternative_6,alternative_7,alternative_5,alternative_1,alternative_2,alternative_3
8&0.9494949494949496&alternative_7,alternative_6,alternative_1,alternative_3,alternative_2,alternative_8,alternative_4,alternative_5,alternative_2,alternative_1,alternative_5,alternative_6,alternative_3,alternative_8,alternative_7,alternative_4,alternative_6,alternative_4,alternative_8,alternative_1,alternative_3,alternative_5,alternative_2,alternative_7,alternative_7,alternative_2,alternative_6,alternative_3,alternative_8,alternative_1,alternative_5,alternative_4,alternative_6,alternative_2,alternative_3,alternative_8,alternative_1,alternative_5,alternative_4,alternative_7
9&0.9272727272727274&alternative_7,alternative_5,alternative_9,alternative_2,alternative_6,alternative_4,alternative_1,alternative_3,alternative_8,alternative_3,alternative_6,alternative_9,alternative_8,alternative_7,alternative_5,alternative_2,alternative_1,alternative_4,alternative_4,alternative_6,alternative_5,alternative_9,alternative_1,alternative_8,alternative_3,alternative_7,alternative_2,alternative_6,alternative_9,alternative_5,alternative_4,alternative_8,alternative_3,alternative_1,alternative_2,alternative_7,alternative_3,alternative_9,alternative_8,alternative_2,alternative_5,alternative_6,alternative_4,alternative_7,alternative_1
10&0.9333333333333332&alternative_10,alternative_6,alternative_7,alternative_3,alternative_4,alternative_2,alternative_1,alternative_9,alternative_8,alternative_5,alternative_9,alternative_3,alternative_2,alternative_6,alternative_10,alternative_5,alternative_8,alternative_4,alternative_1,alternative_7,alternative_3,alternative_2,alternative_8,alternative_9,alternative_6,alternative_1,alternative_4,alternative_7,alternative_10,alternative_5,alternative_5,alternative_9,alternative_4,alternative_8,alternative_6,alternative_1,alternative_2,alternative_3,alternative_10,alternative_7,alternative_8,alternative_4,alternative_10,alternative_6,alternative_1,alternative_5,alternative_2,alternative_3,alternative_9,alternative_7
11&0.9494949494949495&alternative_4,alternative_9,alternative_8,alternative_5,alternative_11,alternative_7,alternative_10,alternative_2,alternative_6,alternative_1,alternative_3,alternative_11,alternative_4,alternative_5,alternative_7,alternative_2,alternative_10,alternative_3,alternative_1,alternative_8,alternative_6,alternative_9,alternative_10,alternative_4,alternative_7,alternative_9,alternative_2,alternative_11,alternative_6,alternative_8,alternative_3,alternative_1,alternative_5,alternative_9,alternative_7,alternative_2,alternative_8,alternative_1,alternative_3,alternative_10,alternative_6,alternative_11,alternative_5,alternative_4,alternative_8,alternative_9,alternative_1,alternative_2,alternative_5,alternative_4,alternative_7,alternative_10,alternative_3,alternative_6,alternative_11
12&0.9292929292929293&alternative_10,alternative_3,alternative_2,alternative_9,alternative_7,alternative_4,alternative_5,alternative_6,alternative_11,alternative_12,alternative_8,alternative_1,alternative_11,alternative_12,alternative_10,alternative_5,alternative_6,alternative_7,alternative_9,alternative_8,alternative_3,alternative_4,alternative_2,alternative_1,alternative_2,alternative_7,alternative_10,alternative_5,alternative_4,alternative_3,alternative_8,alternative_9,alternative_6,alternative_11,alternative_12,alternative_1,alternative_7,alternative_12,alternative_8,alternative_5,alternative_10,alternative_1,alternative_2,alternative_4,alternative_11,alternative_9,alternative_6,alternative_3,alternative_9,alternative_7,alternative_2,alternative_3,alternative_1,alternative_4,alternative_6,alternative_8,alternative_10,alternative_12,alternative_5,alternative_11
13&0.905050505050505&alternative_13,alternative_2,alternative_4,alternative_8,alternative_5,alternative_1,alternative_10,alternative_3,alternative_6,alternative_11,alternative_9,alternative_7,alternative_12,alternative_13,alternative_10,alternative_6,alternative_12,alternative_5,alternative_4,alternative_7,alternative_3,alternative_9,alternative_2,alternative_1,alternative_11,alternative_8,alternative_9,alternative_2,alternative_1,alternative_10,alternative_6,alternative_8,alternative_12,alternative_11,alternative_3,alternative_7,alternative_4,alternative_5,alternative_13,alternative_4,alternative_7,alternative_12,alternative_8,alternative_2,alternative_10,alternative_11,alternative_1,alternative_6,alternative_3,alternative_9,alternative_5,alternative_13,alternative_9,alternative_4,alternative_10,alternative_11,alternative_6,alternative_12,alternative_2,alternative_3,alternative_13,alternative_8,alternative_1,alternative_7,alternative_5
14&0.9272727272727274&alternative_11,alternative_2,alternative_14,alternative_5,alternative_7,alternative_3,alternative_10,alternative_13,alternative_6,alternative_1,alternative_12,alternative_4,alternative_9,alternative_8,alternative_12,alternative_3,alternative_4,alternative_9,alternative_1,alternative_14,alternative_11,alternative_13,alternative_2,alternative_6,alternative_10,alternative_8,alternative_5,alternative_7,alternative_7,alternative_6,alternative_8,alternative_5,alternative_12,alternative_10,alternative_1,alternative_13,alternative_3,alternative_11,alternative_14,alternative_2,alternative_9,alternative_4,alternative_8,alternative_5,alternative_9,alternative_7,alternative_2,alternative_6,alternative_1,alternative_11,alternative_13,alternative_3,alternative_4,alternative_12,alternative_14,alternative_10,alternative_10,alternative_4,alternative_13,alternative_8,alternative_9,alternative_6,alternative_2,alternative_7,alternative_1,alternative_3,alternative_14,alternative_11,alternative_12,alternative_5
15&0.9373737373737374&alternative_5,alternative_10,alternative_2,alternative_7,alternative_8,alternative_12,alternative_9,alternative_6,alternative_4,alternative_13,alternative_1,alternative_11,alternative_14,alternative_15,alternative_3,alternative_4,alternative_5,alternative_2,alternative_6,alternative_10,alternative_9,alternative_3,alternative_8,alternative_12,alternative_7,alternative_13,alternative_14,alternative_1,alternative_11,alternative_15,alternative_11,alternative_7,alternative_4,alternative_5,alternative_12,alternative_6,alternative_1,alternative_13,alternative_10,alternative_15,alternative_14,alternative_3,alternative_9,alternative_8,alternative_2,alternative_8,alternative_5,alternative_4,alternative_14,alternative_1,alternative_12,alternative_6,alternative_3,alternative_13,alternative_10,alternative_15,alternative_11,alternative_9,alternative_7,alternative_2,alternative_7,alternative_2,alternative_6,alternative_1,alternative_12,alternative_8,alternative_10,alternative_5,alternative_15,alternative_3,alternative_14,alternative_13,alternative_4,alternative_11,alternative_9
16&0.8808080808080808&alternative_1,alternative_3,alternative_12,alternative_11,alternative_14,alternative_5,alternative_9,alternative_2,alternative_10,alternative_7,alternative_13,alternative_6,alternative_16,alternative_15,alternative_8,alternative_4,alternative_12,alternative_2,alternative_9,alternative_4,alternative_15,alternative_13,alternative_7,alternative_1,alternative_16,alternative_8,alternative_11,alternative_3,alternative_6,alternative_10,alternative_5,alternative_14,alternative_3,alternative_10,alternative_9,alternative_5,alternative_8,alternative_16,alternative_15,alternative_4,alternative_1,alternative_2,alternative_6,alternative_12,alternative_11,alternative_7,alternative_13,alternative_14,alternative_5,alternative_11,alternative_8,alternative_2,alternative_4,alternative_1,alternative_6,alternative_9,alternative_3,alternative_15,alternative_10,alternative_12,alternative_16,alternative_7,alternative_13,alternative_14,alternative_5,alternative_14,alternative_2,alternative_11,alternative_16,alternative_15,alternative_8,alternative_12,alternative_10,alternative_6,alternative_13,alternative_3,alternative_9,alternative_7,alternative_1,alternative_4
17&0.8909090909090909&alternative_2,alternative_13,alternative_10,alternative_5,alternative_1,alternative_17,alternative_3,alternative_15,alternative_14,alternative_16,alternative_9,alternative_7,alternative_11,alternative_6,alternative_4,alternative_8,alternative_12,alternative_3,alternative_15,alternative_1,alternative_16,alternative_17,alternative_8,alternative_9,alternative_11,alternative_10,alternative_14,alternative_13,alternative_12,alternative_5,alternative_4,alternative_2,alternative_6,alternative_7,alternative_2,alternative_8,alternative_9,alternative_16,alternative_14,alternative_3,alternative_15,alternative_6,alternative_1,alternative_10,alternative_5,alternative_7,alternative_13,alternative_17,alternative_12,alternative_11,alternative_4,alternative_10,alternative_3,alternative_14,alternative_2,alternative_1,alternative_12,alternative_13,alternative_8,alternative_7,alternative_5,alternative_11,alternative_16,alternative_4,alternative_6,alternative_9,alternative_15,alternative_17,alternative_9,alternative_2,alternative_14,alternative_3,alternative_13,alternative_11,alternative_6,alternative_10,alternative_4,alternative_12,alternative_8,alternative_17,alternative_1,alternative_16,alternative_7,alternative_5,alternative_15
18&0.9171717171717173&alternative_1,alternative_10,alternative_3,alternative_17,alternative_6,alternative_12,alternative_2,alternative_13,alternative_7,alternative_18,alternative_14,alternative_5,alternative_16,alternative_11,alternative_9,alternative_15,alternative_4,alternative_8,alternative_1,alternative_7,alternative_8,alternative_12,alternative_3,alternative_16,alternative_10,alternative_13,alternative_15,alternative_11,alternative_17,alternative_6,alternative_9,alternative_18,alternative_5,alternative_4,alternative_14,alternative_2,alternative_14,alternative_15,alternative_5,alternative_3,alternative_2,alternative_12,alternative_9,alternative_16,alternative_13,alternative_10,alternative_7,alternative_18,alternative_11,alternative_1,alternative_6,alternative_8,alternative_4,alternative_17,alternative_10,alternative_7,alternative_4,alternative_6,alternative_17,alternative_9,alternative_18,alternative_13,alternative_2,alternative_3,alternative_16,alternative_14,alternative_12,alternative_1,alternative_8,alternative_11,alternative_15,alternative_5,alternative_5,alternative_3,alternative_2,alternative_18,alternative_6,alternative_12,alternative_1,alternative_9,alternative_11,alternative_15,alternative_13,alternative_7,alternative_10,alternative_16,alternative_8,alternative_17,alternative_14,alternative_4
19&0.8929292929292929&alternative_7,alternative_1,alternative_11,alternative_12,alternative_13,alternative_6,alternative_10,alternative_19,alternative_16,alternative_8,alternative_9,alternative_17,alternative_3,alternative_15,alternative_2,alternative_18,alternative_5,alternative_4,alternative_14,alternative_3,alternative_11,alternative_15,alternative_16,alternative_19,alternative_4,alternative_13,alternative_7,alternative_10,alternative_6,alternative_5,alternative_14,alternative_1,alternative_17,alternative_8,alternative_2,alternative_9,alternative_18,alternative_12,alternative_12,alternative_5,alternative_8,alternative_16,alternative_15,alternative_17,alternative_3,alternative_14,alternative_2,alternative_19,alternative_13,alternative_6,alternative_7,alternative_9,alternative_1,alternative_10,alternative_11,alternative_18,alternative_4,alternative_3,alternative_2,alternative_11,alternative_1,alternative_7,alternative_6,alternative_8,alternative_19,alternative_15,alternative_12,alternative_17,alternative_13,alternative_14,alternative_4,alternative_10,alternative_9,alternative_5,alternative_16,alternative_18,alternative_10,alternative_9,alternative_17,alternative_15,alternative_6,alternative_3,alternative_16,alternative_8,alternative_18,alternative_14,alternative_1,alternative_7,alternative_11,alternative_19,alternative_4,alternative_2,alternative_12,alternative_13,alternative_5
20&0.8969696969696971&alternative_3,alternative_7,alternative_12,alternative_4,alternative_5,alternative_17,alternative_8,alternative_1,alternative_10,alternative_20,alternative_6,alternative_16,alternative_19,alternative_14,alternative_18,alternative_9,alternative_13,alternative_2,alternative_11,alternative_15,alternative_2,alternative_3,alternative_19,alternative_6,alternative_16,alternative_14,alternative_10,alternative_5,alternative_12,alternative_8,alternative_17,alternative_15,alternative_4,alternative_18,alternative_7,alternative_9,alternative_11,alternative_13,alternative_20,alternative_1,alternative_10,alternative_14,alternative_19,alternative_2,alternative_4,alternative_12,alternative_6,alternative_15,alternative_9,alternative_11,alternative_1,alternative_7,alternative_8,alternative_17,alternative_20,alternative_5,alternative_13,alternative_16,alternative_3,alternative_18,alternative_10,alternative_2,alternative_9,alternative_7,alternative_16,alternative_19,alternative_15,alternative_3,alternative_17,alternative_6,alternative_18,alternative_14,alternative_11,alternative_20,alternative_5,alternative_13,alternative_8,alternative_1,alternative_12,alternative_4,alternative_1,alternative_9,alternative_17,alternative_2,alternative_6,alternative_12,alternative_4,alternative_16,alternative_8,alternative_13,alternative_20,alternative_10,alternative_15,alternative_11,alternative_5,alternative_19,alternative_14,alternative_7,alternative_3,alternative_18
